ano,sigla_uf,cargo,sigla_partido,id_municipio_tse,municipio,numero_candidato,votos,resultado,resultado_agregado,nome_urna,nome,idade,genero,instrucao,ocupacao,raca,fundo_partidario,fundo_especial,fundo_total,#NULO,FUNDO ESPECIAL,FUNDO PARTIDARIO,OUTROS RECURSOS
2020,SP,vereador,REPUBLICANOS,61018,Adamantina,10211,20,nao eleito,não eleito,Xexel,Haroldo Peres Cervelheira,55.0,masculino,ensino fundamental completo,eletricista e assemelhados,branca,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
2020,SP,vereador,REPUBLICANOS,61018,Adamantina,10888,24,nao eleito,não eleito,Solange Mery-Carlito Da Banca,Solange Mery Rissoli Gimenes,65.0,feminino,ensino superior completo,professor de ensino fundamental,branca,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
2020,SP,vereador,REPUBLICANOS,61018,Adamantina,10999,28,nao eleito,não eleito,Mandi,Valter Nunes Dias,58.0,masculino,ensino fundamental incompleto,outros,branca,0.0,0.0,0.0,0.0,0.0,0.0,1007.75
2020,SP,vereador,REPUBLICANOS,61018,Adamantina,10333,353,nao eleito,não eleito,Fabio Rigatto Zap,Fabio Augusto Rigatto,41.0,masculino,ensino superior completo,empresario,branca,0.0,0.0,0.0,0.0,0.0,0.0,2033.0
2020,SP,vereador,REPUBLICANOS,61018,Adamantina,10456,73,nao eleito,não eleito,Eleandro Lima,Eleandro Aparecido Lima,44.0,masculino,ensino medio completo,vigilante,branca,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
2020,SP,vereador,REPUBLICANOS,61018,Adamantina,10018,56,nao eleito,não eleito,Fabricio Fb,Mario Fabricio Goncalves,38.0,masculino,ensino fundamental completo,produtor de espetaculos publicos,branca,0.0,0.0,0.0,0.0,0.0,0.0,1050.0
2020,SP,vereador,REPUBLICANOS,61034,Adolfo,10456,33,suplente,não eleito,Riquinho De Abreu,Fernando De Abreu Filho,55.0,masculino,ensino superior completo,motorista de veiculos de transporte coletivo de passageiros,branca,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,SP,vereador,REPUBLICANOS,61034,Adolfo,10222,3,suplente,não eleito,Deildo,Deides Roque Dos Santos,46.0,masculino,ensino fundamental completo,outros,branca,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,SP,vereador,REPUBLICANOS,61050,Aguaí,10710,58,suplente,não eleito,Joao Do Siriri,Joao Batista Da Silva,60.0,masculino,ensino fundamental incompleto,aposentado (exceto servidor publico),parda,0.0,0.0,0.0,0.0,0.0,0.0,1280.0
2020,SP,vereador,REPUBLICANOS,61050,Aguaí,10222,47,suplente,não eleito,Carlinho Turmeiro,Jose Oscar Lambert,54.0,masculino,ensino fundamental incompleto,trabalhador rural,branca,0.0,0.0,0.0,0.0,0.0,0.0,320.0
2020,SP,vereador,REPUBLICANOS,61050,Aguaí,10777,67,suplente,não eleito,Pr Silvio,Silvio De Almeida,52.0,masculino,ensino fundamental incompleto,trabalhador rural,preta,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,SP,vereador,REPUBLICANOS,61050,Aguaí,10333,21,suplente,não eleito,Anderson Mato Sul,Anderson Clementino Simoes,41.0,masculino,ensino fundamental incompleto,mecanico de manutencao,branca,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,SP,vereador,REPUBLICANOS,61050,Aguaí,10456,2,suplente,não eleito,Lilia Arte In Foto,Lilia Helena Martins Coelho,38.0,feminino,ensino medio completo,fotografo e assemelhados,branca,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,SP,vereador,REPUBLICANOS,61050,Aguaí,10536,2,suplente,não eleito,Landa Mauch,Orlanda Rodrigues Mauch,40.0,feminino,ensino fundamental incompleto,feirante ambulante e mascate,branca,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,SP,vereador,REPUBLICANOS,61050,Aguaí,10611,15,suplente,não eleito,Daniela,Daniela Evangelista De Oliveira,38.0,feminino,ensino fundamental completo,auxiliar de escritorio e assemelhados,branca,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,SP,vereador,REPUBLICANOS,61050,Aguaí,10000,83,suplente,não eleito,Magaiver,Moises Tejada De Moraes,35.0,masculino,ensino fundamental incompleto,mecanico de manutencao,branca,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,SP,prefeito,REPUBLICANOS,70190,Águas de Santa Bárbara,10,2096,eleito,não eleito,Aroldo,Aroldo Jose Caetano,53.0,masculino,ensino medio completo,jardineiro,branca,0.0,40000.0,40000.0,0.0,40000.0,0.0,16800.0
2020,SP,vereador,REPUBLICANOS,70190,Águas de Santa Bárbara,10010,115,eleito por media,eleito,Gilmar Teodoro,Gilmar Teodoro Da Silva,55.0,masculino,ensino medio completo,vereador,branca,0.0,0.0,0.0,0.0,0.0,0.0,556.0
2020,SP,vereador,REPUBLICANOS,70190,Águas de Santa Bárbara,10222,96,suplente,não eleito,Jaime Moreira,Jaime Jose Moreira,42.0,masculino,ensino medio completo,gerente,branca,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,SP,vereador,REPUBLICANOS,70190,Águas de Santa Bárbara,10480,55,suplente,não eleito,Dimas,Edmar Soares De Oliveira,45.0,masculino,ensino fundamental completo,outros,preta,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,SP,vereador,REPUBLICANOS,70190,Águas de Santa Bárbara,10229,25,suplente,não eleito,Tatiana Gaglieta,Tatiana Gaglieta,40.0,feminino,ensino medio completo,dona de casa,branca,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,SP,vereador,REPUBLICANOS,70190,Águas de Santa Bárbara,10321,6,suplente,não eleito,Mayara Feitosa,Mayara Da Silva Feitosa,29.0,feminino,ensino superior incompleto,cabeleireiro e barbeiro,parda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,SP,vereador,REPUBLICANOS,61131,Agudos,10888,229,suplente,não eleito,Balduzzi,João Lucio Balduzzi Pereira,59.0,masculino,ensino medio completo,servidor publico municipal,branca,0.0,0.0,0.0,0.0,0.0,0.0,603.0
2020,SP,prefeito,REPUBLICANOS,61131,Agudos,10,7593,nao eleito,não eleito,Altair Da Saúde,Altair Francisco Silva,48.0,masculino,ensino superior completo,prefeito,branca,0.0,40000.0,40000.0,0.0,40000.0,0.0,36288.03
2020,SP,vereador,REPUBLICANOS,61131,Agudos,10192,251,suplente,não eleito,Nakaya,Cristiano José Nakaya,47.0,masculino,ensino medio completo,servidor publico municipal,parda,0.0,0.0,0.0,0.0,0.0,0.0,400.0
2020,SP,vereador,REPUBLICANOS,61131,Agudos,10780,42,suplente,não eleito,Prof Andreia Damada,Andreia Aparecida Cirilo Damada,40.0,feminino,ensino superior completo,servidor publico municipal,branca,0.0,0.0,0.0,0.0,0.0,0.0,603.0
